DateTime,Load,PV
2019-05-13 00:00,0.0651389000444445,0
2019-05-13 00:15,0.0593060961037037,0
2019-05-13 00:30,0.0576467304703704,0
2019-05-13 00:45,0.057198756337037,0
2019-05-13 01:00,0.0564409460222222,0
2019-05-13 01:15,0.0566267067740741,0
2019-05-13 01:30,0.0592719438740741,0
2019-05-13 01:45,0.057832366262963,0
2019-05-13 02:00,0.0549747866666667,0
2019-05-13 02:15,0.0564393422851852,0
2019-05-13 02:30,0.0557603681666667,0
2019-05-13 02:45,0.0566192682074074,0
2019-05-13 03:00,0.0581538475222222,0
2019-05-13 03:15,0.0685683407592592,0
2019-05-13 03:30,0.0591764206518519,7.05710476190476e-06
2019-05-13 03:45,0.0669045438962963,0.00205223137777778
2019-05-13 04:00,0.0738964260407407,0.00774537438095238
2019-05-13 04:15,0.0775304207222223,0.0122255459015873
2019-05-13 04:30,0.0822908593518519,0.0153242861777778
2019-05-13 04:45,0.0952582570333333,0.0292933319174603
2019-05-13 05:00,0.102439763081482,0.0565720745269841
2019-05-13 05:15,0.111628496944445,0.0797862670444444
2019-05-13 05:30,0.118591995511111,0.100704144831746
2019-05-13 05:45,0.12317681847037,0.138303131415873
2019-05-13 06:00,0.13750754887037,0.159434315101587
2019-05-13 06:15,0.147053289351852,0.227140917088889
2019-05-13 06:30,0.146079461222222,0.248390255057143
2019-05-13 06:45,0.149765636981481,0.31197270328254
2019-05-13 07:00,0.155603240803704,0.318661647196825
2019-05-13 07:15,0.152582086118519,0.328616956971429
2019-05-13 07:30,0.157307353796296,0.426299085765079
2019-05-13 07:45,0.155460963603704,0.453259956933333
2019-05-13 08:00,0.185757503966667,0.478556887673016
2019-05-13 08:15,0.191964607014815,0.507608454546032
2019-05-13 08:30,0.186720126922222,0.520473908114286
2019-05-13 08:45,0.175214194785185,0.518919622704762
2019-05-13 09:00,0.170392232422222,0.553631900038095
2019-05-13 09:15,0.170612509503704,0.56585318631746
2019-05-13 09:30,0.172970276125926,0.561709907425397
2019-05-13 09:45,0.16953352772963,0.564928808330159
2019-05-13 10:00,0.1677574209,0.57834241811746
2019-05-13 10:15,0.170375602744444,0.593057255873016
2019-05-13 10:30,0.170661661137037,0.594880556628571
2019-05-13 10:45,0.172176059725926,0.586554313990476
2019-05-13 11:00,0.179076170022222,0.605686488434921
2019-05-13 11:15,0.18804590507037,0.605245344955556
2019-05-13 11:30,0.180131052944444,0.606163612593651
2019-05-13 11:45,0.179063866040741,0.60359444828254
2019-05-13 12:00,0.171382800881482,0.598920786507936
2019-05-13 12:15,0.165996532714815,0.596955316952381
2019-05-13 12:30,0.168618654625926,0.581424396142857
2019-05-13 12:45,0.164089814166667,0.58209175244127
2019-05-13 13:00,0.179293905137037,0.574639529974603
2019-05-13 13:15,0.177249737625926,0.567171615476191
2019-05-13 13:30,0.164131167751852,0.556442118784127
2019-05-13 13:45,0.163448753911111,0.548570266711111
2019-05-13 14:00,0.176662026059259,0.53067110788254
2019-05-13 14:15,0.177226807833333,0.51548996352381
2019-05-13 14:30,0.148604642818519,0.496969242415873
2019-05-13 14:45,0.178946472207407,0.483233626609524
2019-05-13 15:00,0.144067987677778,0.461482440047619
2019-05-13 15:15,0.175860087603704,0.434328275355556
2019-05-13 15:30,0.145316761696296,0.414645922473016
2019-05-13 15:45,0.147435893307407,0.386618745977778
2019-05-13 16:00,0.130759991344444,0.357267566266667
2019-05-13 16:15,0.120530471303704,0.317415978260317
2019-05-13 16:30,0.115257627996296,0.277650252787301
2019-05-13 16:45,0.110693902581481,0.234540467390476
2019-05-13 17:00,0.0828446354481481,0.193087911228571
2019-05-13 17:15,0.0997888858481481,0.149563566812698
2019-05-13 17:30,0.0812364090259259,0.107572260425397
2019-05-13 17:45,0.0738999375666667,0.0670830742190476
2019-05-13 18:00,0.073443089,0.0356521660285714
2019-05-13 18:15,0.0857427415555556,0.0224300811142857
2019-05-13 18:30,0.0781865190074074,0.0178031022571429
2019-05-13 18:45,0.0745407160444445,0.0132773845396825
2019-05-13 19:00,0.0650147939851852,0.00491074954285714
2019-05-13 19:15,0.0772739939814815,0.000436001307936508
2019-05-13 19:30,0.0784533457407408,0
2019-05-13 19:45,0.0695861050592593,0
2019-05-13 20:00,0.0685338628407407,0
2019-05-13 20:15,0.0682508636222222,0
2019-05-13 20:30,0.0886425319962963,0
2019-05-13 20:45,0.0736335741888889,0
2019-05-13 21:00,0.0693455022666667,0
2019-05-13 21:15,0.0680016725666666,0
2019-05-13 21:30,0.0669967919777778,0
2019-05-13 21:45,0.0846352867222222,0
2019-05-13 22:00,0.0710998325851852,0
2019-05-13 22:15,0.0677231178259259,0
2019-05-13 22:30,0.0699500267037036,0
2019-05-13 22:45,0.0700303205111111,0
2019-05-13 23:00,0.0806233762222221,0
2019-05-13 23:15,0.0664383481185185,0
2019-05-13 23:30,0.0719921390814815,0
2019-05-13 23:45,0.0705833081148148,0
2019-05-14 00:00,0.0733165103925926,0
2019-05-14 00:15,0.0754842058259259,0
2019-05-14 00:30,0.0643152287481481,0
2019-05-14 00:45,0.0635114555370371,0
2019-05-14 01:00,0.0638000163370371,0
2019-05-14 01:15,0.0688177599740741,0
2019-05-14 01:30,0.0636099653592593,0
2019-05-14 01:45,0.0629338534925926,0
2019-05-14 02:00,0.0629668133185185,0
2019-05-14 02:15,0.0629751362518519,0
2019-05-14 02:30,0.0631213689592593,0
2019-05-14 02:45,0.0678639237444445,0
2019-05-14 03:00,0.0663023341259259,0
2019-05-14 03:15,0.0654862058925926,0
